JASPAR_id,Cluster
MA1276.1,15
MA0946.1,16
MA0947.1,16
MA0121.1,16
UN0080.1,16
MA0945.1,16
MA1413.1,16
MA0948.1,16
MA1164.1,16
MA0949.1,16
MA1388.1,16
MA1027.1,16
MA1028.1,16
MA1387.1,16
MA1165.1,16
MA1390.1,16
MA1167.1,16
MA1386.1,16
MA1385.1,16
MA1168.1,16
MA1163.1,16
MA1166.1,16
MA1384.1,16
MA1383.1,16
MA1389.1,16
MA1663.1,17
UN0369.1,17
MA1676.1,17
MA1678.1,17
UN0345.1,17
MA1660.1,17
UN0349.1,17
MA1674.1,17
UN0378.1,17
UN0350.1,17
UN0347.1,17
UN0371.1,17
UN0372.1,17
UN0343.1,17
MA0576.1,18
MA0574.1,18
UN0366.1,18
UN0358.1,18
UN0367.1,18
MA1294.1,18
MA1293.1,18
MA1292.1,18
MA1037.1,18
MA1041.1,18
MA1042.1,18
MA1039.1,18
MA1040.1,18
MA1036.1,18
UN0355.1,18
MA1038.1,18
UN0368.1,18
MA1201.1,19
MA1342.1,19
MA1047.2,19
MA1346.1,19
MA1336.1,19
MA1068.1,19
MA1047.1,19
MA0967.1,19
MA1335.1,19
MA1348.1,19
MA0588.1,19
MA1069.1,19
MA1070.1,19
MA1046.1,20
MA0932.1,20
MA0934.1,20
MA0933.1,20
MA1327.2,20
MA1375.1,20
MA0990.1,20
MA1369.1,20
MA0553.1,21
MA1055.1,21
MA0577.2,21
MA1058.1,21
MA1060.1,21
MA1057.1,21
MA1059.1,21
MA0577.1,21
MA0578.1,21
MA0586.1,21
MA0586.2,21
MA1322.1,21
MA1321.1,21
MA1059.2,21
MA1056.1,21
MA1320.1,21
UN0359.1,21
UN0351.1,22
MA1682.1,22
MA1379.1,22
MA1162.1,22
MA1380.1,22
MA1161.1,22
MA0005.1,23
MA0563.1,23
MA0001.1,23
MA1199.1,23
MA0548.1,23
MA0556.1,23
MA1203.1,23
MA1012.1,23
MA0554.1,23
MA0940.1,23
MA0559.1,23
MA0585.1,23
MA0005.2,23
MA0001.2,23
MA0584.1,23
MA1204.1,23
MA0558.1,23
MA0555.1,23
MA1205.1,23
MA0548.2,23
MA1200.1,23
MA1193.1,24
MA1398.2,24
MA1397.1,24
MA1681.1,24
MA1192.1,24
MA1186.1,24
MA1398.1,24
MA1400.1,24
MA1194.1,24
MA1189.1,24
MA1399.1,24
MA1195.1,24
MA1196.1,24
MA1188.1,24
UN0361.1,25
MA1208.1,25
MA1365.2,25
MA1661.1,25
UN0365.1,25
MA1366.1,25
MA1365.1,25
MA1353.1,26
MA1355.1,26
MA1354.1,26
MA1352.1,26
MA1356.1,26
MA1326.1,27
MA1329.2,27
MA1330.1,27
MA1329.1,27
MA1328.1,27
MA1327.1,27
MA1403.1,28
MA1404.1,28
MA1402.1,28
MA1358.1,29
MA1357.1,29
UN0379.1,30
MA1667.1,30
MA1665.1,30
MA1664.1,30
MA1666.1,30
MA0970.1,31
MA1426.1,31
MA0969.1,31
UN0362.1,31
MA1382.1,31
MA0557.1,31
MA1197.1,31
MA1235.1,32
MA0571.1,32
MA1377.1,32
MA1378.1,32
MA0565.2,33
UN0079.1,33
MA0581.1,33
MA0565.1,33
MA0564.1,33
MA1026.2,34
MA0573.1,34
MA1381.1,35
MA1372.1,35
MA1020.1,36
MA1202.1,36
MA1368.2,37
MA1368.1,37
MA1414.1,38
MA0583.1,39
MA1343.1,39
MA0582.1,40
MA1415.1,41
MA1367.1,42
MA1214.1,43
MA0579.1,44
MA0590.1,45
