id,mycT,mybDKO,mycT_mybDKO_down,mycT_down,mybDKO_down
AT3G53830,0.021467193,-0.61,N,N,N
AT3G50950,0.047912497,-0.61,N,N,N
AT2G16660,0.051363501,-0.61,N,N,N
AT5G38990,0.066360711,-0.61,N,N,N
AT3G08720,0.135728481,-0.61,N,N,N
AT2G31160,0.147717554,-0.61,N,N,N
AT2G26080,0.159758529,-0.61,N,N,N
AT2G23550,0.179409251,-0.61,N,N,N
AT1G17240,0.23388806,-0.61,N,N,N
AT5G34795,0.378511623,-0.61,N,N,N
AT1G10000,0.49749966,-0.61,N,N,N
AT4G22710,0.900464326,-0.61,N,N,N
AT1G62420,-0.82218772,-0.6,N,Y,N
AT3G46730,-0.710871398,-0.6,N,N,N
AT4G21890,-0.63329949,-0.6,N,N,N
AT2G18650,-0.576949531,-0.6,N,N,N
AT5G66270,-0.546581409,-0.6,N,N,N
AT4G01540,-0.41303077,-0.6,N,N,N
AT3G08040,-0.341502271,-0.6,N,N,N
AT5G42655,-0.25420116,-0.6,N,N,N
AT4G23230,-0.233287062,-0.6,N,N,N
AT4G09770,-0.229331102,-0.6,N,N,N
AT1G68690,-0.196574837,-0.6,N,N,N
AT4G36640,-0.192612535,-0.6,N,N,N
AT4G11530,-0.191076881,-0.6,N,N,N
AT1G43620,-0.190014237,-0.6,N,N,N
AT4G04750,-0.156670503,-0.6,N,N,N
AT3G54790,-0.145437618,-0.6,N,N,N
AT2G24420,-0.1132204,-0.6,N,N,N
AT1G72890,-0.099144646,-0.6,N,N,N
AT5G20400,-0.094052977,-0.6,N,N,N
AT4G00630,-0.076854665,-0.6,N,N,N
AT5G25930,-0.076206655,-0.6,N,N,N
AT5G41050,-0.072428785,-0.6,N,N,N
AT5G44190,-0.044975487,-0.6,N,N,N
AT2G31990,-0.043118234,-0.6,N,N,N
AT1G67420,-0.030002079,-0.6,N,N,N
AT5G13630,-0.027149873,-0.6,N,N,N
AT5G54160,-0.003741868,-0.6,N,N,N
AT2G42010,0.005368174,-0.6,N,N,N
AT4G11360,0.080271258,-0.6,N,N,N
AT5G05200,0.085019362,-0.6,N,N,N
AT3G13950,0.107702486,-0.6,N,N,N
AT1G21410,0.138412451,-0.6,N,N,N
AT3G01830,0.643143572,-0.6,N,N,N
AT3G23109,1.554588852,-0.6,N,N,N
AT2G01860,-0.60193707,-0.59,N,N,N
AT1G62300,-0.42089171,-0.59,N,N,N
AT3G09560,-0.318744868,-0.59,N,N,N
AT2G14080,-0.314597001,-0.59,N,N,N
AT1G13970,-0.251190301,-0.59,N,N,N
AT1G35710,-0.244382626,-0.59,N,N,N
AT1G77800,-0.243114722,-0.59,N,N,N
AT1G42470,-0.190621946,-0.59,N,N,N
AT2G24550,-0.182653306,-0.59,N,N,N
AT1G10300,-0.18152014,-0.59,N,N,N
AT1G79245,-0.180585335,-0.59,N,N,N
AT5G58940,-0.163839506,-0.59,N,N,N
AT4G31877,-0.142347052,-0.59,N,N,N
AT1G18940,-0.106128351,-0.59,N,N,N
AT5G50340,-0.104041953,-0.59,N,N,N
AT5G56970,-0.077076223,-0.59,N,N,N
AT5G06710,-0.074754521,-0.59,N,N,N
AT4G33150,-0.069149091,-0.59,N,N,N
AT5G12300,-0.067254311,-0.59,N,N,N
AT2G42690,-0.038580471,-0.59,N,N,N
AT5G41690,0.015174994,-0.59,N,N,N
AT1G59620,0.020803916,-0.59,N,N,N
AT1G66130,0.026277484,-0.59,N,N,N
AT1G03055,0.063806678,-0.59,N,N,N
AT2G04850,0.097194098,-0.59,N,N,N
AT4G37690,0.152898899,-0.59,N,N,N
AT1G33610,0.160033588,-0.59,N,N,N
AT1G24130,0.168025111,-0.59,N,N,N
AT2G35960,0.216678244,-0.59,N,N,N
AT4G26530,0.297340687,-0.59,N,N,N
AT2G39730,0.298323644,-0.59,N,N,N
AT1G69890,0.394840039,-0.59,N,N,N
AT5G55010,-0.799467013,-0.58,N,Y,N
AT1G14250,-0.64906284,-0.58,N,N,N
AT1G43310,-0.367903524,-0.58,N,N,N
AT3G25597,-0.357479706,-0.58,N,N,N
AT3G06520,-0.355536488,-0.58,N,N,N
AT4G04370,-0.337462185,-0.58,N,N,N
AT5G45610,-0.322789148,-0.58,N,N,N
AT2G16365,-0.265757626,-0.58,N,N,N
AT4G36670,-0.264748608,-0.58,N,N,N
AT1G09530,-0.255567904,-0.58,N,N,N
AT3G08760,-0.233617228,-0.58,N,N,N
AT1G26960,-0.231151355,-0.58,N,N,N
AT5G49525,-0.215477153,-0.58,N,N,N
AT1G78680,-0.212847585,-0.58,N,N,N
AT1G16320,-0.190744059,-0.58,N,N,N
AT4G08290,-0.189551592,-0.58,N,N,N
AT2G40150,-0.183435288,-0.58,N,N,N
AT2G38640,-0.179141546,-0.58,N,N,N
AT3G30390,-0.174598585,-0.58,N,N,N
AT3G24982,-0.156478305,-0.58,N,N,N
AT2G03140,-0.135776779,-0.58,N,N,N
AT4G36150,-0.126247749,-0.58,N,N,N
AT1G74300,-0.123686498,-0.58,N,N,N
AT3G23210,-0.11832971,-0.58,N,N,N
AT1G74330,-0.09725949,-0.58,N,N,N
AT2G21380,-0.090387338,-0.58,N,N,N
AT5G63100,-0.073567461,-0.58,N,N,N
AT5G62090,-0.061933897,-0.58,N,N,N
AT1G72130,-0.049691129,-0.58,N,N,N
AT1G24280,-0.046368393,-0.58,N,N,N
AT1G46480,-0.034107854,-0.58,N,N,N
AT1G58280,-0.03240169,-0.58,N,N,N
AT5G08570,-0.010011467,-0.58,N,N,N
AT1G77145,0.012633137,-0.58,N,N,N
AT1G23040,0.030513308,-0.58,N,N,N
AT3G19720,0.047651685,-0.58,N,N,N
AT1G21130,0.099828005,-0.58,N,N,N
AT1G76590,0.131795461,-0.58,N,N,N
AT1G02205,0.188732152,-0.58,N,N,N
AT3G15780,0.194797413,-0.58,N,N,N
AT1G03495,0.200298651,-0.58,N,N,N
AT1G53830,0.246522694,-0.58,N,N,N
AT3G13275,0.520314536,-0.58,N,N,N
AT5G03230,-0.506543501,-0.57,N,N,N
AT3G22750,-0.50544878,-0.57,N,N,N
AT4G33960,-0.440396257,-0.57,N,N,N
AT3G45970,-0.334763545,-0.57,N,N,N
AT4G34131,-0.325398859,-0.57,N,N,N
AT1G72840,-0.316757982,-0.57,N,N,N
AT3G46290,-0.301423875,-0.57,N,N,N
AT5G05400,-0.291889269,-0.57,N,N,N
AT1G26920,-0.288279198,-0.57,N,N,N
AT5G24810,-0.284423101,-0.57,N,N,N
AT4G30060,-0.263567848,-0.57,N,N,N
AT4G27070,-0.255610198,-0.57,N,N,N
AT3G16800,-0.237399713,-0.57,N,N,N
AT5G58650,-0.236101902,-0.57,N,N,N
AT3G29230,-0.224370194,-0.57,N,N,N
AT5G57840,-0.202389397,-0.57,N,N,N
AT5G03200,-0.162118516,-0.57,N,N,N
AT4G11850,-0.13696329,-0.57,N,N,N
AT4G11900,-0.120055752,-0.57,N,N,N
AT5G06980,-0.115930306,-0.57,N,N,N
AT5G60850,-0.105440206,-0.57,N,N,N
AT1G38131,-0.05079319,-0.57,N,N,N
AT1G68710,-0.04940224,-0.57,N,N,N
AT1G69930,-0.038732395,-0.57,N,N,N
AT1G32780,-0.036748372,-0.57,N,N,N
AT5G09870,-0.029578785,-0.57,N,N,N
AT4G16790,-0.024756099,-0.57,N,N,N
AT4G37470,-0.020063513,-0.57,N,N,N
AT4G13550,-0.006086046,-0.57,N,N,N
AT2G17340,-0.005745135,-0.57,N,N,N
AT1G31050,0.005151174,-0.57,N,N,N
AT1G10970,0.054997278,-0.57,N,N,N
AT4G34350,0.063418277,-0.57,N,N,N
AT3G02380,0.066550311,-0.57,N,N,N
AT2G40370,0.070545811,-0.57,N,N,N
AT3G19615,0.080831075,-0.57,N,N,N
AT1G06240,0.124155795,-0.57,N,N,N
AT1G74650,0.126932958,-0.57,N,N,N
AT5G54130,0.17589921,-0.57,N,N,N
AT3G61900,0.274174963,-0.57,N,N,N
AT5G18404,0.939226578,-0.57,N,N,N
AT3G57950,-0.618295963,-0.56,N,N,N
AT3G45140,-0.60463079,-0.56,N,N,N
AT4G02075,-0.529997285,-0.56,N,N,N
AT5G07680,-0.363622997,-0.56,N,N,N
AT4G24450,-0.354430735,-0.56,N,N,N
AT5G54940,-0.318774029,-0.56,N,N,N
AT5G53130,-0.287207176,-0.56,N,N,N
AT1G72125,-0.268266307,-0.56,N,N,N
AT1G52290,-0.262326136,-0.56,N,N,N
AT5G49900,-0.222135417,-0.56,N,N,N
AT3G22460,-0.222065761,-0.56,N,N,N
AT2G13800,-0.19725515,-0.56,N,N,N
AT2G20560,-0.193879734,-0.56,N,N,N
AT2G18950,-0.188562238,-0.56,N,N,N
AT5G40630,-0.186700714,-0.56,N,N,N
AT5G28910,-0.185214873,-0.56,N,N,N
AT1G08570,-0.181286518,-0.56,N,N,N
AT2G24190,-0.180819334,-0.56,N,N,N
AT4G21550,-0.172777386,-0.56,N,N,N
AT1G66840,-0.17115741,-0.56,N,N,N
AT2G44490,-0.170496081,-0.56,N,N,N
AT4G02010,-0.17006142,-0.56,N,N,N
AT4G26690,-0.155516361,-0.56,N,N,N
AT1G63350,-0.140462562,-0.56,N,N,N
AT5G62630,-0.140296288,-0.56,N,N,N
AT2G41210,-0.137503524,-0.56,N,N,N
AT1G72300,-0.134562248,-0.56,N,N,N
AT5G03650,-0.124554446,-0.56,N,N,N
AT1G62960,-0.104706884,-0.56,N,N,N
ATCG00420,-0.090994532,-0.56,N,N,N
AT2G31660,-0.067150005,-0.56,N,N,N
AT2G29990,-0.050867679,-0.56,N,N,N
AT5G12850,-0.045919302,-0.56,N,N,N
AT3G02870,-0.043993551,-0.56,N,N,N
AT4G24100,-0.029847146,-0.56,N,N,N
AT4G17100,-0.029179097,-0.56,N,N,N
AT3G14680,-0.023608693,-0.56,N,N,N
AT4G01280,-0.023018025,-0.56,N,N,N
AT1G01120,-0.017672599,-0.56,N,N,N
AT3G55240,-0.01234135,-0.56,N,N,N
AT4G34740,-0.010588964,-0.56,N,N,N
AT3G18490,0.004745087,-0.56,N,N,N
AT3G20640,0.004871232,-0.56,N,N,N
AT1G07520,0.008659387,-0.56,N,N,N
AT3G45600,0.02254683,-0.56,N,N,N
AT3G10815,0.024682147,-0.56,N,N,N
AT3G51920,0.037589005,-0.56,N,N,N
AT1G22870,0.039979438,-0.56,N,N,N
AT1G16720,0.068481864,-0.56,N,N,N
AT3G24190,0.070494854,-0.56,N,N,N
AT2G23770,0.071924927,-0.56,N,N,N
AT2G29350,0.088930573,-0.56,N,N,N
AT1G79520,0.103422529,-0.56,N,N,N
AT3G09830,0.112821193,-0.56,N,N,N
AT1G12050,0.11327034,-0.56,N,N,N
AT3G52430,0.116042901,-0.56,N,N,N
AT4G37540,0.135887964,-0.56,N,N,N
AT5G41620,0.152866724,-0.56,N,N,N
AT2G35940,0.199740198,-0.56,N,N,N
AT5G23820,0.203006096,-0.56,N,N,N
AT5G01320,0.349807128,-0.56,N,N,N
AT1G24145,0.413218048,-0.56,N,N,N
AT3G46880,0.433740056,-0.56,N,N,N
AT5G61160,1.086000016,-0.56,N,N,N
AT1G74929,-1.157808715,-0.55,N,Y,N
AT5G44720,-1.131414726,-0.55,N,Y,N
AT5G11210,-0.631848888,-0.55,N,N,N
AT2G26290,-0.433387864,-0.55,N,N,N
AT2G47750,-0.411630898,-0.55,N,N,N
AT4G19660,-0.366670589,-0.55,N,N,N
AT3G04220,-0.314873337,-0.55,N,N,N
AT1G67330,-0.241483374,-0.55,N,N,N
AT1G51610,-0.241308992,-0.55,N,N,N
AT1G60890,-0.24071708,-0.55,N,N,N
AT1G45545,-0.205423683,-0.55,N,N,N
AT4G13495,-0.190702903,-0.55,N,N,N
AT5G46180,-0.175580569,-0.55,N,N,N
AT5G62140,-0.166908774,-0.55,N,N,N
AT4G23020,-0.162375903,-0.55,N,N,N
AT1G32160,-0.133538737,-0.55,N,N,N
AT5G14880,-0.13125264,-0.55,N,N,N
AT3G26320,-0.125038831,-0.55,N,N,N
AT4G25290,-0.097962583,-0.55,N,N,N
AT3G24420,-0.096806204,-0.55,N,N,N
AT5G63580,-0.091665988,-0.55,N,N,N
AT1G65610,-0.073543236,-0.55,N,N,N
AT1G27360,-0.072165212,-0.55,N,N,N
AT2G41705,-0.059171772,-0.55,N,N,N
AT4G30210,-0.038765694,-0.55,N,N,N
AT5G41315,-0.030837404,-0.55,N,N,N
AT5G37600,-0.026795106,-0.55,N,N,N
AT2G30150,-0.022905316,-0.55,N,N,N
AT1G27110,0,-0.55,N,N,N
AT2G20142,0.012859211,-0.55,N,N,N
AT4G39640,0.022864108,-0.55,N,N,N
AT3G53260,0.034111554,-0.55,N,N,N
AT5G39020,0.035822946,-0.55,N,N,N
AT5G10695,0.054876692,-0.55,N,N,N
AT4G02000,0.069634188,-0.55,N,N,N
AT2G46530,0.077103153,-0.55,N,N,N
AT5G63380,0.082000128,-0.55,N,N,N
AT3G10230,0.088051079,-0.55,N,N,N
AT5G54250,0.125650838,-0.55,N,N,N
AT3G14650,0.141561473,-0.55,N,N,N
AT3G45680,0.144698293,-0.55,N,N,N
AT2G26190,0.168776456,-0.55,N,N,N
AT1G10480,0.175166126,-0.55,N,N,N
AT2G01530,0.23332308,-0.55,N,N,N
AT3G19030,0.326898826,-0.55,N,N,N
AT1G78440,0.519137865,-0.55,N,N,N
AT4G14365,0.526103142,-0.55,N,N,N
AT5G49850,-0.541400465,-0.54,N,N,N
AT1G49450,-0.492785186,-0.54,N,N,N
AT4G20460,-0.35626686,-0.54,N,N,N
AT4G35985,-0.341682997,-0.54,N,N,N
AT5G67340,-0.341607105,-0.54,N,N,N
AT4G31540,-0.309480932,-0.54,N,N,N
AT5G55960,-0.296053052,-0.54,N,N,N
AT1G55980,-0.268150351,-0.54,N,N,N
AT5G17300,-0.247296564,-0.54,N,N,N
AT4G19510,-0.216511628,-0.54,N,N,N
AT4G09900,-0.211785409,-0.54,N,N,N
AT4G14030,-0.211526624,-0.54,N,N,N
AT2G02220,-0.207787815,-0.54,N,N,N
AT2G48090,-0.203323159,-0.54,N,N,N
AT4G32700,-0.201797627,-0.54,N,N,N
AT3G07340,-0.190471925,-0.54,N,N,N
AT2G41220,-0.178352297,-0.54,N,N,N
AT3G05840,-0.176334821,-0.54,N,N,N
AT4G10730,-0.160078098,-0.54,N,N,N
AT1G61660,-0.130797571,-0.54,N,N,N
AT1G64610,-0.120765049,-0.54,N,N,N
AT5G20280,-0.114930148,-0.54,N,N,N
AT5G16820,-0.107229027,-0.54,N,N,N
AT1G68580,-0.104044882,-0.54,N,N,N
AT2G25200,-0.087500834,-0.54,N,N,N
AT5G45260,-0.081502785,-0.54,N,N,N
AT5G38220,-0.076217946,-0.54,N,N,N
AT4G23130,-0.072870317,-0.54,N,N,N
AT4G38960,-0.059276621,-0.54,N,N,N
AT1G64760,-0.054107405,-0.54,N,N,N
AT2G15620,-0.047578811,-0.54,N,N,N
AT5G09620,-0.047157707,-0.54,N,N,N
AT3G03520,-0.044062046,-0.54,N,N,N
AT2G16500,-0.043714819,-0.54,N,N,N
AT5G39580,-0.038121418,-0.54,N,N,N
AT1G73760,-0.034016938,-0.54,N,N,N
AT1G64400,-0.023883371,-0.54,N,N,N
AT1G48300,-0.020489492,-0.54,N,N,N
AT1G80760,0.014284226,-0.54,N,N,N
AT1G29120,0.022516419,-0.54,N,N,N
AT4G30440,0.048552679,-0.54,N,N,N
AT4G37925,0.056927542,-0.54,N,N,N
AT3G60390,0.069163524,-0.54,N,N,N
AT1G73950,0.103583249,-0.54,N,N,N
AT4G11280,0.105661404,-0.54,N,N,N
AT2G05070,0.12157937,-0.54,N,N,N
AT1G47530,0.127422215,-0.54,N,N,N
AT3G61820,0.146775809,-0.54,N,N,N
AT3G25600,0.148986383,-0.54,N,N,N
AT4G33010,0.268883237,-0.54,N,N,N
AT5G40180,-1.081683798,-0.53,N,Y,N
AT4G25434,-0.616440732,-0.53,N,N,N
AT1G31173,-0.549065844,-0.53,N,N,N
AT5G56160,-0.401922,-0.53,N,N,N
AT5G62310,-0.382333334,-0.53,N,N,N
AT1G13700,-0.359173725,-0.53,N,N,N
AT4G30020,-0.273922722,-0.53,N,N,N
AT1G07390,-0.265473451,-0.53,N,N,N
AT1G53310,-0.214240674,-0.53,N,N,N
AT3G01100,-0.212609431,-0.53,N,N,N
AT2G16430,-0.191536708,-0.53,N,N,N
AT1G67810,-0.190584472,-0.53,N,N,N
AT5G16910,-0.189625348,-0.53,N,N,N
AT2G04110,-0.180920723,-0.53,N,N,N
AT3G60200,-0.179043646,-0.53,N,N,N
AT4G36190,-0.172984801,-0.53,N,N,N
AT1G31920,-0.159365281,-0.53,N,N,N
AT5G58870,-0.155741658,-0.53,N,N,N
AT5G24350,-0.150445738,-0.53,N,N,N
AT5G56890,-0.147106038,-0.53,N,N,N
AT4G36040,-0.122773456,-0.53,N,N,N
AT3G26630,-0.122753231,-0.53,N,N,N
AT4G36550,-0.121556575,-0.53,N,N,N
AT3G63210,-0.110554276,-0.53,N,N,N
AT1G51340,-0.104108403,-0.53,N,N,N
AT1G48540,-0.098175515,-0.53,N,N,N
AT5G24290,-0.075658765,-0.53,N,N,N
AT2G02370,-0.072197304,-0.53,N,N,N
AT1G58290,-0.070429274,-0.53,N,N,N
AT3G18890,-0.055147176,-0.53,N,N,N
AT3G16940,-0.047808091,-0.53,N,N,N
AT3G24170,-0.038137305,-0.53,N,N,N
AT1G73040,-0.018696094,-0.53,N,N,N
AT2G02860,-0.008574736,-0.53,N,N,N
AT2G39220,0.001252883,-0.53,N,N,N
AT5G36940,0.031198669,-0.53,N,N,N
AT3G21870,0.038346765,-0.53,N,N,N
AT2G02070,0.041982825,-0.53,N,N,N
AT4G15545,0.044284316,-0.53,N,N,N
AT2G41040,0.04552212,-0.53,N,N,N
AT5G08600,0.046514795,-0.53,N,N,N
AT1G05900,0.049115307,-0.53,N,N,N
AT3G23790,0.079343431,-0.53,N,N,N
AT3G11900,0.104776962,-0.53,N,N,N
AT5G55570,0.184153617,-0.53,N,N,N
AT2G02930,0.208666574,-0.53,N,N,N
AT1G55420,0.440014165,-0.53,N,N,N
AT1G03240,-1.242064632,-0.52,N,Y,N
AT2G01010,-0.812914447,-0.52,N,Y,N
AT4G13020,-0.537779789,-0.52,N,N,N
AT2G46430,-0.390141367,-0.52,N,N,N
AT1G04240,-0.319302814,-0.52,N,N,N
AT3G06750,-0.266935357,-0.52,N,N,N
AT1G18870,-0.250255801,-0.52,N,N,N
AT3G61440,-0.237965797,-0.52,N,N,N
AT1G03840,-0.233313708,-0.52,N,N,N
AT1G70520,-0.224888256,-0.52,N,N,N
AT5G44160,-0.221561806,-0.52,N,N,N
AT4G29210,-0.221373929,-0.52,N,N,N
AT5G57740,-0.208108195,-0.52,N,N,N
AT3G44880,-0.201854754,-0.52,N,N,N
AT1G27180,-0.200067875,-0.52,N,N,N
AT5G54840,-0.178990873,-0.52,N,N,N
AT4G00700,-0.176008557,-0.52,N,N,N
AT1G61100,-0.174793773,-0.52,N,N,N
AT1G69550,-0.169553604,-0.52,N,N,N
AT5G53140,-0.167022867,-0.52,N,N,N
AT1G62430,-0.162938571,-0.52,N,N,N
AT1G13280,-0.156270137,-0.52,N,N,N
AT1G18740,-0.141137947,-0.52,N,N,N
AT3G56950,-0.132973865,-0.52,N,N,N
AT3G20480,-0.126377286,-0.52,N,N,N
AT4G19040,-0.121540513,-0.52,N,N,N
AT2G46660,-0.114071767,-0.52,N,N,N
AT3G47250,-0.084467072,-0.52,N,N,N
AT5G24870,-0.076503483,-0.52,N,N,N
AT4G30100,-0.070180499,-0.52,N,N,N
AT5G15450,-0.04884488,-0.52,N,N,N
AT3G17810,-0.045080196,-0.52,N,N,N
AT4G39730,-0.030818838,-0.52,N,N,N
AT2G39890,-0.023723497,-0.52,N,N,N
AT4G10430,-0.015985704,-0.52,N,N,N
AT4G18220,-0.013758776,-0.52,N,N,N
AT5G60360,-0.013279931,-0.52,N,N,N
AT3G60080,-0.0115729,-0.52,N,N,N
AT1G79570,-0.011304882,-0.52,N,N,N
AT1G66910,0.037593076,-0.52,N,N,N
AT3G51960,0.053208594,-0.52,N,N,N
AT1G60680,0.068386975,-0.52,N,N,N
AT1G02270,0.071807306,-0.52,N,N,N
AT3G55200,0.082780721,-0.52,N,N,N
AT4G22240,0.109687988,-0.52,N,N,N
AT4G32770,0.155713413,-0.52,N,N,N
AT4G21780,0.163617722,-0.52,N,N,N
AT3G23000,0.170093368,-0.52,N,N,N
AT2G20950,0.192251362,-0.52,N,N,N
AT5G65990,0.286495956,-0.52,N,N,N
AT5G54960,0.302204063,-0.52,N,N,N
AT3G16400,0.320576104,-0.52,N,N,N
AT5G12860,0.333055389,-0.52,N,N,N
AT5G07780,0.36923381,-0.52,N,N,N
AT2G33051,0.917211401,-0.52,N,N,N
AT1G07135,0.960157474,-0.52,N,N,N
AT2G23347,-1.939594761,-0.51,N,Y,N
AT3G07150,-0.984163452,-0.51,N,Y,N
AT3G28690,-0.39927261,-0.51,N,N,N
AT3G54640,-0.379304383,-0.51,N,N,N
AT1G58190,-0.297600897,-0.51,N,N,N
AT3G26600,-0.246724581,-0.51,N,N,N
AT4G12900,-0.242206808,-0.51,N,N,N
AT1G75290,-0.237969069,-0.51,N,N,N
AT5G38510,-0.210395073,-0.51,N,N,N
AT3G26500,-0.202047379,-0.51,N,N,N
AT1G22160,-0.193956023,-0.51,N,N,N
AT1G03920,-0.179724563,-0.51,N,N,N
AT2G03550,-0.17045968,-0.51,N,N,N
AT1G77855,-0.169925001,-0.51,N,N,N
AT5G09440,-0.168688653,-0.51,N,N,N
AT3G15350,-0.148032396,-0.51,N,N,N
AT3G51550,-0.13840115,-0.51,N,N,N
AT5G01260,-0.120435092,-0.51,N,N,N
AT4G18810,-0.109974514,-0.51,N,N,N
AT5G10600,-0.107045311,-0.51,N,N,N
AT1G28660,-0.088153779,-0.51,N,N,N
AT1G07000,-0.073559188,-0.51,N,N,N
AT4G03410,-0.065315324,-0.51,N,N,N
AT2G41370,-0.060702207,-0.51,N,N,N
AT3G20380,-0.051745955,-0.51,N,N,N
AT1G07700,-0.047485059,-0.51,N,N,N
AT1G20560,-0.044409389,-0.51,N,N,N
AT4G37000,-0.029751679,-0.51,N,N,N
AT1G71810,-0.025522307,-0.51,N,N,N
AT1G63820,-0.021010493,-0.51,N,N,N
AT1G12370,-0.016375829,-0.51,N,N,N
AT2G05710,0.018120387,-0.51,N,N,N
AT1G50180,0.022400373,-0.51,N,N,N
AT3G27230,0.035482743,-0.51,N,N,N
AT2G43710,0.037694366,-0.51,N,N,N
AT5G64280,0.078888598,-0.51,N,N,N
AT1G25520,0.141200712,-0.51,N,N,N
AT5G14280,0.141309272,-0.51,N,N,N
AT1G78476,0.30054271,-0.51,N,N,N
AT5G57220,0.548433779,-0.51,N,N,N
AT2G17660,-1.590479506,-0.5,N,Y,N
AT5G59845,-0.536940986,-0.5,N,N,N
AT1G24330,-0.441618098,-0.5,N,N,N
AT2G04038,-0.401813804,-0.5,N,N,N
AT2G25290,-0.293964232,-0.5,N,N,N
AT5G15910,-0.291762443,-0.5,N,N,N
AT2G28830,-0.269939102,-0.5,N,N,N
AT4G12470,-0.264363087,-0.5,N,N,N
AT1G34180,-0.263034406,-0.5,N,N,N
AT2G33360,-0.249058018,-0.5,N,N,N
AT4G01480,-0.244469457,-0.5,N,N,N
AT5G65470,-0.222862998,-0.5,N,N,N
AT1G01440,-0.221957241,-0.5,N,N,N
AT3G03855,-0.190253089,-0.5,N,N,N
AT4G18240,-0.180395106,-0.5,N,N,N
AT2G03505,-0.175986538,-0.5,N,N,N
AT3G62090,-0.175810285,-0.5,N,N,N
AT3G18370,-0.161794007,-0.5,N,N,N
AT3G54460,-0.155152337,-0.5,N,N,N
AT3G49350,-0.151253447,-0.5,N,N,N
AT4G36140,-0.144355645,-0.5,N,N,N
AT2G22680,-0.13986946,-0.5,N,N,N
AT3G24480,-0.135447139,-0.5,N,N,N
AT1G66330,-0.125369966,-0.5,N,N,N
AT2G26800,-0.117710461,-0.5,N,N,N
AT2G22990,-0.105703263,-0.5,N,N,N
AT5G04550,-0.103046068,-0.5,N,N,N
AT2G31820,-0.102076128,-0.5,N,N,N
AT2G41080,-0.094197675,-0.5,N,N,N
AT1G20510,-0.092549243,-0.5,N,N,N
AT5G50400,-0.090678934,-0.5,N,N,N
AT1G59870,-0.088048788,-0.5,N,N,N
AT2G27260,-0.079990978,-0.5,N,N,N
AT1G65520,-0.048469419,-0.5,N,N,N
AT3G27110,-0.048155222,-0.5,N,N,N
AT2G14910,-0.04493386,-0.5,N,N,N
AT3G09920,-0.044859706,-0.5,N,N,N
AT2G01980,-0.031364171,-0.5,N,N,N
AT3G51660,-0.022343069,-0.5,N,N,N
AT3G56050,-0.021823801,-0.5,N,N,N
AT5G54660,-0.017518251,-0.5,N,N,N
AT3G14690,-0.012272327,-0.5,N,N,N
AT5G62470,0.052258167,-0.5,N,N,N
AT3G16430,0.053479018,-0.5,N,N,N
AT1G19740,0.069394765,-0.5,N,N,N
AT1G49750,0.077697743,-0.5,N,N,N
AT3G27925,0.089550517,-0.5,N,N,N
AT3G54660,0.091261888,-0.5,N,N,N
AT4G33666,0.093320883,-0.5,N,N,N
AT5G03555,0.168519585,-0.5,N,N,N
AT2G35345,0.191592144,-0.5,N,N,N
AT2G41290,0.195353709,-0.5,N,N,N
AT5G05300,0.525153106,-0.5,N,N,N
AT3G25770,-0.927542064,-0.49,N,Y,N
AT2G04400,-0.640798293,-0.49,N,N,N
AT1G20120,-0.544117448,-0.49,N,N,N
AT3G13240,-0.491248066,-0.49,N,N,N
AT5G46330,-0.38791713,-0.49,N,N,N
AT4G23493,-0.370873383,-0.49,N,N,N
AT3G45960,-0.351110173,-0.49,N,N,N
AT1G66500,-0.312285425,-0.49,N,N,N
AT3G26440,-0.309721629,-0.49,N,N,N
AT1G65620,-0.289751744,-0.49,N,N,N
AT2G32480,-0.28883409,-0.49,N,N,N
AT3G05690,-0.279203862,-0.49,N,N,N
AT1G06050,-0.236988184,-0.49,N,N,N
AT1G55500,-0.234942461,-0.49,N,N,N
AT4G09560,-0.230383829,-0.49,N,N,N
AT4G21215,-0.226275856,-0.49,N,N,N
AT5G49810,-0.197735355,-0.49,N,N,N
AT2G45600,-0.194465514,-0.49,N,N,N
AT1G63730,-0.181887373,-0.49,N,N,N
AT2G14520,-0.173264802,-0.49,N,N,N
AT2G47070,-0.172514308,-0.49,N,N,N
AT5G27150,-0.171507092,-0.49,N,N,N
AT1G05170,-0.162905368,-0.49,N,N,N
AT5G06220,-0.162529054,-0.49,N,N,N
AT5G44510,-0.158335469,-0.49,N,N,N
AT1G10410,-0.148295516,-0.49,N,N,N
AT5G12170,-0.138891728,-0.49,N,N,N
AT1G33270,-0.137696669,-0.49,N,N,N
AT3G59970,-0.136182096,-0.49,N,N,N
AT1G55860,-0.134832726,-0.49,N,N,N
AT2G32930,-0.133448476,-0.49,N,N,N
AT3G03050,-0.117267307,-0.49,N,N,N
AT5G54730,-0.113497854,-0.49,N,N,N
AT4G12005,-0.101714423,-0.49,N,N,N
AT5G58760,-0.085816868,-0.49,N,N,N
AT1G67510,-0.084990987,-0.49,N,N,N
AT1G04250,-0.082436281,-0.49,N,N,N
AT2G34460,-0.081628762,-0.49,N,N,N
AT4G14930,-0.077531525,-0.49,N,N,N
AT2G28550,-0.061215935,-0.49,N,N,N
AT2G31110,-0.042338147,-0.49,N,N,N
AT1G70985,-0.040523642,-0.49,N,N,N
AT2G43910,-0.033808282,-0.49,N,N,N
AT3G17800,-0.023955979,-0.49,N,N,N
AT1G72800,-0.016347994,-0.49,N,N,N
