id,Moitf_name,Cluster,myc_myb_down_count,myc_myb_down_freq,myc_myb_down_freq_norm,myc_down_myb_not_count,myc_down_myb_not_freq,myc_down_myb_not_freq_norm,myb_down_myc_not_count,myb_down_myc_not_freq,myb_down_myc_not_freq_norm,log2_myc_myb_down_freq_norm,log2_myc_down_myb_not_freq_norm,log2_myb_down_myc_not_freq_norm
MA0936.1,T11I18.17,2,27,0.001398891,1.538777941,55,0.00122949,1.352436723,280,0.001202362,1.322595869,0.621785053,0.435561096,0.403372301
MA1025.1,HBI1,8,57,0.002953215,1.524020263,110,0.00245898,1.268967934,582,0.002499195,1.289721124,0.607882085,0.343655614,0.367059146
MA0951.1,ATHB-16,14,17,0.000880783,1.520352323,29,0.000648276,1.11901368,158,0.000678476,1.171141446,0.604405689,0.162227673,0.22791533
MA1394.2,MYB73,10,30,0.001554324,1.518566436,44,0.000983592,0.960964393,257,0.001103596,1.078208145,0.602710027,-0.05744512,0.108635713
MA0549.1,BZR2,8,58,0.003005026,1.514298998,106,0.002369562,1.19407494,610,0.002619431,1.319989326,0.598650093,0.255893383,0.400526263
MA1177.1,MYB65,10,29,0.001502513,1.50797368,36,0.000804757,0.807681883,219,0.000940419,0.943836615,0.592611248,-0.308140916,-0.083390955
UN0368.1,MYB99,18,27,0.001398891,1.490030009,32,0.00071534,0.761944444,250,0.001073537,1.143479024,0.575341387,-0.392242285,0.193429901
MA1186.1,At1g49010,24,35,0.001813378,1.475713391,54,0.001207136,0.982358056,314,0.001348363,1.097287836,0.561412552,-0.025679132,0.133942017
MA1041.1,MYB55,18,34,0.001761567,1.468458815,63,0.001408325,1.173992926,263,0.001129361,0.941446282,0.554302804,0.231423715,-0.087049316
MA0580.1,DYT1,6,39,0.002020621,1.449623372,67,0.001497742,1.074502562,357,0.001533011,1.099805113,0.535678121,0.103668923,0.137247899
MA1395.1,MYB77,10,25,0.00129527,1.448394209,34,0.000760048,0.849899875,228,0.000979066,1.094809509,0.534454314,-0.234635205,0.13067987
MA0954.1,ATHB-7,14,33,0.001709756,1.444695352,57,0.001274199,1.076661711,257,0.001103596,0.932507647,0.530765299,0.106565024,-0.100812539
MA1659.1,ABF4,6,63,0.00326408,1.444381404,106,0.002369562,1.048550331,757,0.003250671,1.438447982,0.530451751,0.068396113,0.52451305
MA1393.1,MYB70,10,30,0.001554324,1.43969488,35,0.000782403,0.724701778,232,0.000996243,0.922771416,0.525763088,-0.464540661,-0.115954779
MA1385.1,AT2G40260,16,34,0.001761567,1.437812305,63,0.001408325,1.149491874,269,0.001155126,0.942828065,0.523875356,0.200996267,-0.084933391
MA1341.1,bZIP53,6,41,0.002124242,1.431551506,75,0.001676577,1.129864757,434,0.001863661,1.255942607,0.517579578,0.176150095,0.328770539
MA0561.1,PIF4,8,55,0.002849593,1.430908562,108,0.002414271,1.212313735,528,0.002267311,1.138518412,0.516931484,0.277763103,0.187157623
MA0560.1,PIF3,8,61,0.003160458,1.429424105,117,0.00261546,1.182930435,654,0.002808374,1.270182011,0.515434022,0.242365235,0.345035243
MA1377.1,PLT1,32,29,0.001502513,1.422248363,52,0.001162427,1.100329776,263,0.001129361,1.069030598,0.50817342,0.137935974,0.096303147
MA0551.1,HY5,6,62,0.003212269,1.418450367,120,0.002682523,1.184529218,716,0.003074611,1.357664366,0.50431567,0.244313785,0.441126869
MA0964.1,BIM1,8,54,0.002797782,1.415577527,119,0.002660169,1.345950036,585,0.002512077,1.271020948,0.501390764,0.428624856,0.345987808
MA1037.1,MYB24,18,26,0.00134708,1.408595892,54,0.001207136,1.262260252,258,0.00110789,1.158483142,0.49425778,0.336009395,0.212237051
MA0950.1,ATHB-12,14,23,0.001191648,1.407227483,38,0.000849466,1.003141381,197,0.000845947,0.99898655,0.492855564,0.004524951,-0.001462841
MA1334.1,GBF6,6,41,0.002124242,1.40268646,76,0.001698931,1.121843866,452,0.001940955,1.28165792,0.488192562,0.165871901,0.358011252
MA0583.1,RAV1(var.2),39,32,0.001657945,1.4026183,54,0.001207136,1.021234222,226,0.000970478,0.821022208,0.488122456,0.030313789,-0.284506849
MA1320.1,SPL15,21,18,0.000932594,1.394468446,42,0.000938883,1.403872135,203,0.000871712,1.303434365,0.479715289,0.489411541,0.382317937
MA1174.1,MYB56,10,15,0.000777162,1.385682079,24,0.000536505,0.956589612,133,0.000571122,1.018312149,0.470596294,-0.06402797,0.026179867
MA1391.1,MYB33,10,20,0.001036216,1.383039159,31,0.000692985,0.924928693,194,0.000833065,1.111893404,0.467842005,-0.112585949,0.153018485
UN0372.1,NAC031,17,39,0.002020621,1.3796016,83,0.001855412,1.266803493,383,0.001644659,1.122909611,0.464251707,0.34119275,0.167241802
MA1340.1,bZIP3,6,50,0.002590539,1.372193176,86,0.001922475,1.018323531,555,0.002383253,1.262394741,0.456483597,0.026195992,0.3361631
MA1193.1,At2g38090,24,37,0.001916999,1.366117116,84,0.001877766,1.338158545,327,0.001404187,1.000670055,0.45008117,0.420249057,0.000966361
MA0968.1,bZIP68,8,55,0.002849593,1.363411152,95,0.002123664,1.01608452,635,0.002726785,1.304652409,0.447220689,0.023020413,0.383665489
MA0550.1,BZR1,6,50,0.002590539,1.357882375,84,0.001877766,0.984268328,560,0.002404724,1.26048336,0.441358513,-0.022876423,0.333977073
MA0586.1,SPL14,21,21,0.001088027,1.35326622,35,0.000782403,0.973137185,236,0.001013419,1.260471099,0.43644568,-0.039284896,0.333963039
MA0575.1,F3A4.140,10,24,0.001243459,1.35080428,41,0.000916529,0.995650968,215,0.000923242,1.00294378,0.433818656,-0.00628801,0.004240738
MA1171.1,MYB52,10,23,0.001191648,1.34288579,34,0.000760048,0.856509603,188,0.0008073,0.909758316,0.425336611,-0.223458673,-0.136444761
MA1194.1,AT3G10580,24,28,0.001450702,1.341042552,51,0.001140072,1.053893633,258,0.00110789,1.024144356,0.423355015,0.075729267,0.034419082
MA0548.1,AGL15,23,69,0.003574944,1.33999758,123,0.002749586,1.030628415,546,0.002344605,0.878829262,0.422230395,0.043524274,-0.186345188
