id,35S,BS,BS_35S,log2_BS_35S
AT1G65690,0.216079,0.0555981,0.257305,-1.958448603
AT5G44380,0.0382926,0.00982455,0.256565,-1.96260372
AT5G58770,0.94212,0.239105,0.253794,-1.978270132
AT4G34550,0.0719973,0.018252,0.25351,-1.979885438
AT3G47420,1.41073,0.353528,0.250598,-1.996553194
AT2G11810,0.0531975,0.0132353,0.248795,-2.006970603
AT1G32350,0.128662,0.0311856,0.242383,-2.044639579
AT5G24155,0.110377,0.0265801,0.240812,-2.054020809
AT4G09350,0.947863,0.227716,0.240242,-2.057439704
AT1G76240,0.915453,0.219375,0.239636,-2.061083438
AT5G54610,1.85009,0.441526,0.238651,-2.067025713
AT1G64780,0.633699,0.150044,0.236775,-2.078411334
AT4G21830,0.0581982,0.0137372,0.236042,-2.082884507
AT2G34960,0.0845426,0.0190562,0.225404,-2.149414977
AT5G01550,0.0565981,0.0126317,0.223182,-2.163707419
AT1G04220,0.122967,0.0273812,0.22267,-2.167020896
AT3G51750,0.277563,0.0600984,0.216522,-2.207414476
AT1G73260,0.409263,0.087691,0.214265,-2.222531889
AT4G11650,0.125515,0.0260795,0.20778,-2.266871302
AT4G12500,0.0870913,0.0177507,0.203818,-2.294646627
AT5G61350,0.0609986,0.0124311,0.203793,-2.294823597
AT2G41850,0.0548982,0.0109274,0.199048,-2.328811719
AT3G44990,0.597542,0.118571,0.198431,-2.333290666
AT5G22570,0.104581,0.0199594,0.190851,-2.389481349
AT2G05540,0.783417,0.148146,0.189102,-2.402763473
AT5G59320,0.897775,0.168527,0.187716,-2.413376471
AT5G04150,0.19475,0.0355902,0.182748,-2.452072478
AT2G29470,0.100184,0.0175502,0.17518,-2.513090021
AT2G46940,0.0750462,0.0126317,0.168318,-2.570738628
AT1G02820,1.32195,0.221173,0.167309,-2.579413041
AT1G26390,0.326059,0.0533976,0.163766,-2.61029223
AT5G24150,3.22016,0.50665,0.157337,-2.668070114
AT3G52740,0.60803,0.0948875,0.156057,-2.679855024
AT5G41900,0.241652,0.0373917,0.154734,-2.692137857
AT3G16450,0.0914892,0.0139381,0.152346,-2.714576474
AT4G15670,0.174621,0.0265801,0.152216,-2.715808081
AT2G44380,0.0949875,0.0143396,0.150963,-2.727733097
AT4G15680,0.188906,0.0280823,0.148658,-2.749930991
AT4G14630,0.0865917,0.0126317,0.145876,-2.777185549
AT1G33950,0.0269804,0.00391596,0.145141,-2.78447298
AT5G54585,1.11126,0.156139,0.140506,-2.831296356
AT3G51860,1.12784,0.144899,0.128475,-2.960440443
AT5G55620,2.74646,0.348883,0.12703,-2.976758844
AT2G30766,1.9999,0.196698,0.0983538,-3.345875396
AT2G15020,1.53908,0.149545,0.0971651,-3.363417974
AT3G59930,0.0284834,0.00221196,0.0776578,-3.686725353
AT3G09450,0.290798,0.0146416,0.0503499,-4.311867277
