id,35S,BS,BS_35S,log2_BS_35S
AT5G46470,0.617468,0.911458,1.47612,0.561810009
AT1G68740,0.176519,0.259632,1.47085,0.556650125
AT5G66070,0.135856,0.198945,1.46438,0.550289975
AT1G34060,0.276714,0.404719,1.46259,0.548525403
AT3G57630,0.282707,0.40307,1.42575,0.511721033
AT3G05937,0.0402933,0.0572983,1.42203,0.507951901
AT3G56200,0.82127,1.16504,1.41859,0.504457683
AT5G50760,0.0323371,0.0457963,1.41621,0.502035209
AT1G27200,0.272618,0.38604,1.41605,0.501872207
AT1G59910,0.397777,0.561485,1.41156,0.497290454
AT4G32940,4.62837,6.50207,1.40483,0.490395559
AT2G22930,0.0642487,0.0898902,1.3991,0.484499082
AT4G33310,0.0132354,0.0184533,1.39424,0.479478923
AT5G38210,0.255237,0.355726,1.39371,0.4789304
AT5G24420,0.555392,0.77273,1.39132,0.476454274
AT4G16860,1.16474,1.61728,1.38853,0.473558348
AT1G76790,0.0611984,0.0848927,1.38717,0.472144603
AT1G69310,0.169925,0.23436,1.37919,0.463821219
AT1G12990,0.486774,0.669855,1.37611,0.460595797
AT1G76600,0.327558,0.449317,1.37172,0.455986024
AT4G27410,0.743767,1.00904,1.35666,0.440059204
AT4G18390,0.619016,0.830458,1.34158,0.423933087
AT2G28200,0.200394,0.268522,1.33997,0.422200701
AT1G31540,0.751757,1.00514,1.33706,0.419064207
AT4G11000,0.068098,0.0909895,1.33616,0.418092775
AT1G11170,0.0206612,0.0275817,1.33495,0.416785707
AT5G60680,1.76869,2.35026,1.32881,0.410134835
AT3G46650,0.083393,0.110377,1.32358,0.404445397
AT3G44630,1.23885,1.63845,1.32256,0.403333174
AT1G13260,2.54801,3.29976,1.29503,0.372985519
AT4G39830,0.0434446,0.056198,1.29356,0.371346973
AT5G24030,0.311275,0.399974,1.28495,0.361712222
AT3G23170,0.192602,0.247146,1.2832,0.359746047
AT1G56510,0.567178,0.712305,1.25588,0.328698621
AT4G14370,0.039593,0.0491968,1.24256,0.313315517
AT3G04420,0.0490467,0.0602984,1.22941,0.297966125
AT1G04770,0.753604,0.925241,1.22775,0.296016823
AT3G28130,0.365015,0.446221,1.22247,0.289799061
AT2G37770,0.117872,0.1438,1.21997,0.286845671
AT4G31550,1.03041,1.25613,1.21906,0.285769135
AT2G38470,1.19071,1.45109,1.21867,0.285307516
AT4G15490,0.446121,0.536915,1.20352,0.267260117
AT3G56400,2.96728,3.57081,1.2034,0.267116262
AT5G45650,0.821769,0.981421,1.19428,0.256141117
AT4G11910,0.050697,0.0602984,1.18939,0.250221851
AT5G67450,0.122718,0.145748,1.18767,0.248134032
AT1G05300,0.284505,0.337696,1.18696,0.247271318
AT3G30720,0.0370915,0.043995,1.18612,0.246249975
AT1G73750,0.374005,0.443075,1.18468,0.244497418
AT1G26790,0.0370915,0.0437948,1.18072,0.23966688
AT1G11050,0.389087,0.455211,1.16995,0.226446875
AT1G56540,0.0714975,0.0828931,1.15939,0.213365947
AT1G70250,0.340044,0.392982,1.15568,0.208741981
AT1G60190,0.0697979,0.0800946,1.14752,0.198519298
AT4G09310,0.26193,0.298989,1.14148,0.190905582
AT1G29690,0.456659,0.520934,1.14075,0.189982654
AT1G53170,0.34344,0.38634,1.12491,0.169809581
AT1G09070,5.92591,6.64299,1.12101,0.164799148
AT4G16563,0.0700978,0.0784952,1.11979,0.163228202
AT2G41190,0.0782953,0.087491,1.11745,0.16021028
AT3G19000,0.597043,0.664212,1.1125,0.153805336
AT4G20860,0.576467,0.640491,1.11106,0.151936728
AT1G51820,0.021063,0.0233714,1.10959,0.150026691
AT5G64170,2.83125,3.12928,1.10526,0.144385787
AT3G56080,0.32536,0.359421,1.10469,0.143641575
AT3G14050,0.605832,0.667258,1.10139,0.139325415
AT5G62570,0.536815,0.587704,1.0948,0.13066734
AT2G39250,0.600938,0.65772,1.09449,0.130258773
AT1G77640,0.0569981,0.0619981,1.08772,0.121307227
AT5G65030,0.0176504,0.0190562,1.07965,0.110563697
AT3G10150,0.100184,0.108079,1.0788,0.109427427
AT3G02470,21.3167,22.9534,1.07678,0.106723519
AT3G55230,0.0450956,0.0479967,1.06433,0.089945534
AT1G25550,1.38697,1.46647,1.05732,0.080412077
AT4G19960,0.319167,0.336547,1.05446,0.076504369
AT3G46280,0.0179513,0.0188555,1.05037,0.070897617
AT5G46490,0.549699,0.576367,1.04851,0.068340621
AT1G28600,1.25753,1.31535,1.04599,0.064869059
AT1G61380,0.239005,0.248744,1.04075,0.057623558
AT3G26570,8.477,8.80288,1.03844,0.054417861
AT5G05340,0.118821,0.123367,1.03826,0.054167767
AT3G05030,0.349633,0.362019,1.03543,0.050230024
AT1G34260,0.340044,0.35183,1.03466,0.049156761
AT2G17040,1.04609,1.07925,1.0317,0.045023522
